السنة,الربع,المنطقة,النشاط الاقتصادي,حجم المنشأة,عدد المنشآت,عدد العاملين السعوديين,عدد السعوديين (ذكور),عدد السعوديين (إناث),عدد العاملين الغير سعوديين,عدد الغير سعوديين (ذكور),عدد الغير سعوديين (إناث),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
2023,2,منطقة حائل,الأنشطة العقارية,صغيرة,7.0,44.0,34.0,10.0,54.0,54.0,0.0,,,,,,,,,,
2023,2,منطقة حائل,الأنشطة العقارية,متوسطة,1.0,0.0,0.0,0.0,55.0,55.0,0.0,,,,,,,,,,
2023,2,منطقة عسير,الأنشطة العقارية,متناهية الصغر,300.0,132.0,78.0,54.0,483.0,479.0,4.0,,,,,,,,,,
2023,2,منطقة عسير,الأنشطة العقارية,صغيرة,34.0,145.0,90.0,55.0,236.0,236.0,0.0,,,,,,,,,,
2023,2,منطقة عسير,الأنشطة العقارية,متوسطة,4.0,58.0,31.0,27.0,248.0,247.0,1.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الأنشطة العقارية,متناهية الصغر,2020.0,1184.0,708.0,476.0,3224.0,3138.0,86.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الأنشطة العقارية,صغيرة,420.0,2335.0,1382.0,953.0,3742.0,3642.0,100.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الأنشطة العقارية,متوسطة,37.0,1384.0,992.0,392.0,2302.0,2222.0,80.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الأنشطة العقارية,كبيرة,3.0,956.0,526.0,430.0,563.0,538.0,25.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة العقارية,متناهية الصغر,66.0,12.0,8.0,4.0,119.0,118.0,1.0,,,,,,,,,,
2023,2,منطقة نجران,الأنشطة العقارية,صغيرة,6.0,28.0,11.0,17.0,49.0,49.0,0.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متناهية الصغر,36.0,40.0,27.0,13.0,44.0,41.0,3.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,صغيرة,37.0,458.0,254.0,204.0,152.0,150.0,2.0,,,,,,,,,,
2023,2,المنطقة الشرقية,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متوسطة,5.0,345.0,187.0,158.0,85.0,77.0,8.0,,,,,,,,,,
